"","site","A","B","C","D","E","F","G","H","I","J","K","L","M","N","P","patch","height"
"329","Q9-1",NA,NA,NA,19.6875,NA,6.0625,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"Q","L"
"330","Q9-2",NA,NA,NA,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","H"
"331","R1-1",NA,NA,NA,33.75,NA,NA,NA,NA,1.875,1.875,NA,NA,NA,NA,NA,"R","L"
"332","R1-2",NA,NA,NA,5.5625,NA,18.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"333","R10-1",0.3125,NA,0.3125,6.875,NA,NA,NA,NA,0.3125,NA,0.0625,NA,NA,18.4375,NA,"R","L"
"334","R10-2",NA,NA,2.1875,20.625,NA,7.1875,NA,NA,NA,NA,2.875,NA,NA,NA,NA,"R","H"
"335","R2-1",2.8125,NA,NA,8.5625,NA,2,NA,NA,0.625,NA,16.875,NA,0.9375,NA,NA,"R","L"
"336","R2-2",NA,NA,NA,8.125,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"337","R3-1",NA,NA,NA,57.8125,NA,1.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","L"
"338","R3-2",NA,NA,NA,9.6875,NA,7.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"339","R4-1",NA,NA,NA,0.6875,NA,2.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","L"
"340","R4-2",NA,NA,NA,NA,NA,6.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"341","R5-1",NA,NA,NA,8.125,NA,14.6875,NA,NA,NA,NA,NA,NA,NA,4.4375,NA,"R","L"
"342","R5-2",NA,NA,NA,1.75,NA,5.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"343","R6-1",5.9375,NA,NA,10.125,NA,1.75,NA,NA,0.625,NA,NA,NA,NA,3.125,NA,"R","L"
"344","R6-2",NA,NA,NA,0.0625,NA,18.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"345","R7-1",NA,NA,NA,6.375,NA,13.4375,NA,NA,NA,NA,17.1875,NA,NA,NA,NA,"R","L"
"346","R7-2",NA,NA,NA,7.0625,NA,5.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"347","R8-1",NA,NA,NA,16.3125,NA,37.5625,NA,NA,NA,NA,NA,NA,NA,0.3125,NA,"R","L"
"348","R8-2",NA,NA,NA,13.875,NA,9.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","H"
"349","R9-1",27.1875,NA,NA,28.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","L"
"350","R9-2",NA,NA,NA,14.75,NA,4.6875,NA,NA,1,NA,NA,NA,NA,NA,NA,"R","H"
"351","S1-1",NA,NA,NA,1.4375,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","L"
"352","S1-2",NA,NA,NA,1.1875,NA,16.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"353","S10-1",NA,NA,NA,0.75,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","L"
"354","S10-2",NA,NA,NA,8.25,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"355","S2-1",0.3125,NA,NA,28.6875,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","L"
"356","S2-2",NA,NA,NA,NA,NA,9.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"357","S3-1",NA,NA,NA,45,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","L"
"358","S3-2",NA,NA,NA,19.375,NA,1.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"359","S4-1",NA,NA,NA,41.5625,NA,0.375,NA,NA,3.75,NA,NA,NA,NA,NA,NA,"S","L"
"360","S4-2",NA,NA,NA,19.375,NA,6.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"361","S5-1",NA,NA,NA,13.5,NA,NA,NA,NA,NA,0.8125,19.8125,NA,NA,1.9375,NA,"S","L"
"362","S5-2",NA,NA,NA,16.4375,NA,NA,NA,NA,NA,NA,NA,1.625,NA,NA,NA,"S","H"
"363","S6-1",NA,NA,NA,25.75,NA,0.0625,NA,NA,0.3125,NA,NA,2.5625,NA,0.3125,NA,"S","L"
"364","S6-2",NA,NA,NA,2.125,NA,5.8125,NA,NA,NA,NA,NA,12.5,NA,NA,NA,"S","H"
"365","S7-1",NA,NA,NA,8.5,NA,0.0625,NA,NA,NA,NA,NA,NA,0.125,NA,NA,"S","L"
"366","S7-2",NA,NA,NA,7.9375,NA,3.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"367","S8-1",NA,NA,NA,47.5,NA,NA,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"S","L"
"368","S8-2",NA,NA,NA,2.0625,NA,12.25,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,"S","H"
"369","S9-1",NA,NA,NA,4.875,NA,4.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","L"
"370","S9-2",NA,NA,NA,7.6875,NA,6.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","H"
"371","T1-1",NA,NA,NA,68.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","L"
"372","T1-2",NA,NA,NA,88.125,NA,1.875,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"T","H"
"373","T10-1",NA,NA,NA,2.3125,NA,2.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","L"
"374","T10-2",NA,NA,NA,6.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","H"
"375","T2-1",NA,NA,NA,37.8125,NA,1.4375,NA,NA,NA,NA,NA,NA,NA,0.3125,NA,"T","L"
"376","T2-2",NA,NA,0.375,24.75,NA,0.875,NA,NA,0.625,NA,NA,NA,NA,NA,NA,"T","H"
"377","T3-1",12.9375,NA,21.5,6.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0625,NA,"T","L"
"378","T3-2",36.9375,NA,2.25,5.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","H"
"379","T4-1",NA,NA,NA,11.5625,NA,0.0625,NA,NA,NA,NA,14.1875,NA,NA,25.375,NA,"T","L"
"380","T4-2",NA,NA,NA,7.8125,NA,8.75,NA,NA,NA,NA,NA,NA,NA,9.125,NA,"T","H"
"381","T5-1",NA,NA,NA,0.3125,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","L"
"382","T5-2",NA,NA,NA,NA,NA,76.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","H"
"383","T6-1",NA,NA,30.375,51.875,NA,NA,NA,NA,1.5625,NA,NA,NA,NA,NA,NA,"T","L"
"384","T6-2",NA,NA,17.5,71.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","H"
"385","T7-1",NA,NA,NA,22.25,NA,3.375,NA,NA,NA,NA,NA,NA,3.125,0.0625,NA,"T","L"
"386","T7-2",NA,NA,NA,NA,NA,26.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","H"
"387","T8-1",NA,NA,NA,0.6875,NA,8.5,1.3125,NA,NA,NA,NA,0.3125,NA,NA,NA,"T","L"
"388","T8-2",NA,NA,NA,1.9375,NA,4.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","H"
"389","T9-1",NA,NA,38.75,0.8125,NA,0.1875,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,"T","L"
"390","T9-2",NA,NA,7.8125,7.5,NA,0.375,NA,NA,1.3125,NA,NA,NA,NA,NA,NA,"T","H"
